优惠活动,会场,卖家地址,原价,快递费,服务保障,标题,现价
"满199减10,满299减30,满499减60,可跨店",洗护主会场,广东广州,269.0,快递: 0.00,乐买宝;正品保证;赠运费险;极速退款;七天退换,【11-11】威露士新加坡版有氧洗洗衣液10瓶20斤,99.0
"满199减10,满299减30,满499减60,可跨店",洗护主会场,北京,192.1,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,【双11】海飞丝洗发水/露丝质柔滑去屑止痒套装洗头膏500ml*3正品,95.9
"满199减10,满299减30,满499减60,可跨店",洗护主会场,北京,189.0,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,【双11】宝洁汰渍全效洗衣液机洗家庭装瓶装套装手洗袋装补充装,89.9
"满199减10,满299减30,满499减60,可跨店",洗护主会场,上海,272.0,快递: 0.00,乐买宝;正品保证;赠运费险;极速退款;七天退换,【领券立减20元】施华蔻多效修护19洗发水/露护发素洗护套装1.6L,109.9
,洗护主会场,广东深圳,214.4,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,全棉时代 奈丝公主卫生巾 纯棉表层亲肤超吸4月组合装,107.2
"满199减10,满299减30,满499减60,可跨店",洗护主会场,上海,110.0,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,洁柔抽纸Face系列面巾纸纸巾餐巾纸3层120抽21包原生木桨天然无香,49.9
"满199减10,满299减30,满499减60,可跨店",洗护主会场,北京,136.6,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,【双11】护舒宝液体卫生巾always未来感极护日用30片+夜10片包邮,69.9
"满199减10,满299减30,满499减60,可跨店",洗护主会场,北京,169.9,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,【双11】潘婷洗发水/露护发素套装正品乳液修护男女500ml*2+500ml,85.0
"满199减10,满299减30,满499减60,可跨店",洗护主会场,北京,192.1,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,【双11】海飞丝洗发水/露正品清爽去油套装男女士洗头膏500ml*3,95.9
"满199减10,满299减30,满499减60,可跨店",洗护主会场,北京,274.1,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,【双11】VS沙宣洗发水/露护发素套装正品修护水养500ml*2+500ml,119.0
"满199减10,满299减30,满499减60,可跨店",洗护主会场,上海,239.0,快递: 0.00,乐买宝;正品保证;赠运费险;极速退款;七天退换,【领券立减10元】施华蔻8金无硅油洗发水护发素洗护套装1.3L无硅,99.9
"满199减10,满299减30,满499减60,可跨店",洗护主会场,北京,128.6,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,【双11】飘柔洗发水护发素套装正品焗油护理洗发露500ml*2+500ml,66.9
"满199减10,满299减30,满499减60,可跨店",洗护主会场,广东广州,278.0,快递: 0.00,正品保证;赠运费险;极速退款;七天退换,【限时再减40】蓝月亮机洗至尊「浓缩+」洗衣液（亮白）套装,139.0
"满199减10,满299减30,满499减60,可跨店",洗护主会场,上海,219.8,快递: 0.0,乐买宝;正品保证;公益宝贝;赠运费险;极速退款;七天退换,【双11】清扬洗发水/露樱花沁爽留香男女士去屑正品套装750ml*2,89.9
"最高优惠200元;满199减10,满299减30,满499减60,可跨店",洗护主会场,日本,247.0,运费: 0.00,正品保障;环球必达;七天放心退;赠运费险;税值折扣,【天猫海外直营】日本新Reveur无硅油保湿滋润洗发水*3,139.0
"满199减10,满299减30,满499减60,可跨店",洗护主会场,上海,264.0,快递: 0.00,乐买宝;正品保证;赠运费险;极速退款;七天退换,【最后一波，买2免1】施华蔻斐丝丽睡莲洗发水护发素洗护大套装,99.0
