省份,性别,年龄,金额
河北,1,19,2012
重庆,1,19,1001
,1,19,1000
上海,0,19,9000
江苏,1,19,1004
福建,1,19,911
河北,0,19,800
广东,1,19,0
上海,1,19,4500
安徽,1,19,500
山东,1,19,7
重庆,1,19,2505
上海,1,19,600.87
海南,1,19,0
湖南,1,19,0
云南,1,19,1
北京,0,19,10319
辽宁,1,19,300
浙江,0,19,2
广东,0,19,400.87
上海,1,19,200
山东,1,19,300
福建,0,19,0
上海,0,19,6200
安徽,1,19,1
北京,0,19,181
河北,0,19,0
广东,0,19,120
重庆,1,19,100
北京,0,19,200.81
江西,1,19,101
山东,1,19,100
重庆,0,19,100
福建,1,19,100
四川,1,19,100
陕西,0,19,100
浙江,1,19,100
陕西,0,19,100
广东,1,19,0
安徽,1,19,103
四川,1,19,0
内蒙古,1,19,100
江苏,0,19,100
广东,1,19,0
山东,1,19,600
福建,1,19,0
重庆,0,19,100
湖南,0,19,100
福建,1,19,2090.58
山东,0,19,1
湖北,1,19,0
广东,1,19,0
海南,0,19,1
福建,1,19,56
浙江,0,19,40
江苏,1,19,30
海南,1,19,22
福建,1,19,37
浙江,0,19,54
江西,1,19,120
河北,1,19,20
浙江,1,19,20
湖北,0,19,1
广东,1,19,22
广东,0,19,18
广东,1,19,12.11
吉林,1,19,2015.01
广东,1,19,0
广东,1,19,10
浙江,1,19,12
广东,1,19,2
天津,0,19,10
广东,1,19,15
山东,1,19,10
广东,1,19,10
福建,0,19,0
云南,0,19,10
江苏,0,19,8
广东,1,19,1
广东,0,19,8
河北,1,19,9
福建,1,19,5
江苏,0,19,5
湖南,1,19,5
安徽,1,19,15
广东,1,19,5
广西,1,19,0
河南,1,19,4.04
广东,1,19,4
湖北,1,19,4
广东,0,19,5
广东,1,19,3
河北,1,19,3
安徽,1,19,4
安徽,1,19,2
福建,1,19,5
河南,0,19,102
吉林,1,19,2
四川,1,19,4
广西,0,19,2
江苏,1,19,101
吉林,0,19,2
辽宁,0,19,2
山东,1,19,2
辽宁,1,19,2
江苏,1,19,2
广西,1,19,2
福建,0,19,2
广东,0,19,2
四川,1,19,4
广东,1,19,2
甘肃,1,19,2
山西,0,19,2
广西,1,19,12
辽宁,1,19,2
湖北,1,19,2
浙江,1,19,0
江西,1,19,2
辽宁,0,19,0
海南,1,19,0
吉林,1,19,1.5
广东,1,19,20.1
广西,1,19,2.1
海南,1,19,1.1
湖北,1,19,5.1
四川,1,19,1.1
四川,1,19,1.1
甘肃,1,19,0
福建,1,19,1.1
湖南,1,19,1.1
福建,0,19,1.1
广东,1,19,1.01
江苏,1,19,1.01
福建,0,19,2
吉林,1,19,55
山东,1,19,1000112
广东,1,19,20003
重庆,0,19,100
云南,0,19,100
湖北,1,19,100
辽宁,0,19,100
安徽,0,19,1000
山西,0,19,100
上海,1,19,10001
河南,1,19,100
河南,0,19,100
福建,1,19,4000
湖北,0,19,35000
浙江,1,19,100
广东,0,19,100
山东,0,19,100
北京,1,19,100
浙江,0,19,100
辽宁,1,19,100
湖北,1,19,1000
广东,1,19,300
云南,0,19,10000
山东,1,19,200
山东,1,19,102
广东,0,19,30000
广西,1,19,508
广东,1,19,100
新疆,1,19,100
广东,1,19,100
河南,1,19,100
河南,0,19,100
山西,1,19,100
湖北,1,19,100
四川,1,19,100
山西,1,19,100
浙江,0,19,2000
河北,0,19,22000
广东,0,19,20000
湖北,0,19,1000
安徽,1,19,100
广东,0,19,100
河北,1,19,100
江苏,0,19,100
浙江,1,19,100
宁夏,0,19,100
天津,0,19,100
四川,0,19,10000
河北,0,19,100
江西,1,19,1000
广东,0,19,4000
四川,0,19,40000
四川,1,19,112
安徽,1,19,700
上海,1,19,100
浙江,1,19,809
广西,1,19,100
江苏,0,19,100
广东,0,19,100
四川,1,19,100
山东,1,19,100
江苏,1,19,100
宁夏,0,19,100
广东,0,19,100
河南,0,19,4000
北京,1,19,5000
湖北,1,19,100
山东,1,19,100
辽宁,0,19,100
湖北,1,19,100
广西,0,19,100
广东,0,19,1000
广西,1,19,101
山东,1,19,100
上海,1,19,600
山东,1,19,104
广东,0,19,20000
宁夏,0,19,100
山西,0,19,100
江西,0,19,100
黑龙江,0,19,100
广东,0,19,100
河南,1,19,100
浙江,0,19,100
山东,1,19,100
安徽,0,19,100
江西,1,19,100
北京,1,19,10003
广西,1,19,1000
江西,1,19,600009
广东,0,19,20000
陕西,1,19,100
广东,1,19,100
海南,0,19,100
辽宁,0,19,100
浙江,0,19,100
广东,1,19,100
广西,0,19,100
安徽,0,19,100
浙江,1,19,100
河南,1,19,100
河南,0,19,102
河南,1,19,101
广东,1,19,100
山东,1,20,390005
广东,1,20,601306.85
西藏,1,20,256009.14
福建,0,20,217000
山东,0,20,415255
山东,1,20,109375
广东,0,20,100087.12
浙江,1,20,66100
江苏,0,20,74484.37
北京,0,20,200000
广东,0,20,53000
河北,1,20,62851
安徽,1,20,52000
安徽,0,20,50001
上海,0,20,197213.45
福建,1,20,89162.74
广东,0,20,97706.88
吉林,1,20,56394.5
广东,0,20,80174.25
河南,0,20,40000
陕西,0,20,59543.56
上海,0,20,38275
江苏,1,20,36200
上海,0,20,31990.08
湖北,1,20,40744.77
辽宁,0,20,48851.9
浙江,0,20,34825
山东,1,20,32663.36
湖北,0,20,27664.77
湖北,1,20,40124.93
广东,1,20,40087.12
江西,1,20,10000
广东,0,20,30082.37
江苏,0,20,19808.14
广西,1,20,18103.52
广东,1,20,15000
浙江,0,20,15080
安徽,0,20,14000
北京,0,20,127665.37
山西,1,20,34227.36
广东,0,20,12549.78
山东,1,20,3
江苏,1,20,12353.21
上海,1,20,0
山东,1,20,10000
四川,0,20,30006
四川,0,20,14900
上海,1,20,10600
北京,0,20,14819.61
安徽,1,20,9600
广东,0,20,11504.07
广东,1,20,103
吉林,1,20,9933.34
上海,1,20,21098.09
四川,1,20,16018.42
重庆,1,20,8003
安徽,1,20,7300
广东,1,20,7250
内蒙古,0,20,7000
浙江,0,20,11042.7
吉林,0,20,7000
山东,1,20,6470
广东,0,20,17565.47
山东,0,20,5500
河北,1,20,5311
福建,1,20,10000
北京,0,20,7000
河南,1,20,0
四川,1,20,4700
湖北,0,20,12238.95
安徽,0,20,4734.07
广东,1,20,22155.36
广东,1,20,1
北京,0,20,3436
江苏,0,20,3183.52
广东,1,20,3107.4
湖南,0,20,3012
江苏,1,20,6000
内蒙古,0,20,3000
北京,1,20,2900
江苏,0,20,2750
江苏,1,20,5400
江西,0,20,3925.58
云南,1,20,3204.88
河南,0,20,2500
江苏,0,20,2488
广东,1,20,2000
重庆,1,20,4016.27
辽宁,0,20,0
江苏,1,20,2000
陕西,1,20,2000
辽宁,0,20,2000
北京,0,20,0
湖南,0,20,3813.58
山西,1,20,2101.31
黑龙江,0,20,7604.34
山东,1,20,0
福建,0,20,1600
江苏,0,20,1408
江苏,1,20,1340.24
广东,1,20,1044
安徽,1,20,1021
广东,1,20,0
广东,1,20,2003
安徽,1,20,0
江苏,0,20,0
浙江,1,20,1001
北京,1,20,1
山西,1,20,1001
四川,0,20,1011
福建,1,20,0
甘肃,1,20,1000
海南,1,20,0
四川,1,20,3002
江西,1,20,1000
安徽,1,20,1000
江苏,1,20,1000
黑龙江,1,20,1001
新疆,1,20,1000
安徽,0,20,0
内蒙古,0,20,10701
江苏,0,20,654
陕西,1,20,600
广东,0,20,1005.07
上海,0,20,500
山东,0,20,500
山东,0,20,500
广西,0,20,903.25
江苏,1,20,703.01
湖南,1,20,0
广西,1,20,0
湖南,1,20,500
上海,0,20,0
新疆,1,20,0
广东,1,20,0
重庆,1,20,10049
贵州,1,20,400
江苏,0,20,400
广东,0,20,400
浙江,1,20,850
广东,0,20,2
福建,1,20,10000
广西,1,20,607.31
贵州,1,20,300
江苏,0,20,3078
北京,1,20,20007
江苏,1,20,0
浙江,0,20,248
北京,0,20,212
四川,0,20,300.81
